Triazine_ID,SMILES,MolWt,LogP,TPSA,HBD,HBA,RotatableBonds,AromaticRings,n_triazine_rings
TRZ00173,Cc1nnc(CSc2ccc(Cl)cc2)nc1C,265.77,3.43,38.67,0,4,3,2,1
TRZ00174,Cc1nnc(-c2cccc(N(C)C)c2)nc1C,228.3,2.22,41.91,0,4,2,2,1
TRZ00175,Cc1ccsc1-c1nnc(C)c(C)n1,205.29,2.53,38.67,0,4,1,2,1
TRZ00176,Cc1nnc(Cc2ccc(F)cc2)nc1C,217.25,2.22,38.67,0,3,2,2,1
TRZ00177,Cc1nnc(-c2ccc(N)c(N)c2)nc1C,215.26,1.32,90.71,2,5,1,2,1
TRZ00178,CCOC(=O)c1c(-c2ccccc2)oc2ccc(OCc3nnc(C)c(C)n3)cc12,403.44,4.66,87.34,0,7,6,4,1
TRZ00179,Cc1nnc(CC23CC4CC(C2)CC(n2ncnn2)(C4)C3)nc1C,325.42,2.01,82.27,0,6,3,2,1
TRZ00180,Cc1nnc(Cn2nc(-c3ccccc3)c3ccccc3c2=O)nc1C,343.39,2.91,73.56,0,5,3,4,1
TRZ00181,Cc1nnc(-c2nn(-c3ccc(Cl)cc3)cc2O)nc1C,301.74,2.7,76.72,1,5,2,3,1
TRZ00182,Cc1nnc(Cc2cccnc2)nc1C,200.25,1.47,51.56,0,4,2,2,1
TRZ00183,Cc1nnc(CN2CCCc3ccccc32)nc1C,254.34,2.44,41.91,0,4,2,2,1
TRZ00184,Cc1nnc(C(C)Oc2ccccc2F)nc1C,247.27,2.77,47.9,0,4,3,2,1
TRZ00185,Cc1nnc(-c2cc(-c3cccs3)nc3ccccc23)nc1C,318.41,4.43,51.56,0,5,2,4,1
TRZ00186,Cc1nnc(-c2ccnc(Cl)c2)nc1C,220.66,2.2,51.56,0,4,1,2,1
TRZ00187,Cc1nnc(-c2ccc[nH]2)nc1C,174.21,1.48,54.46,1,3,1,2,1
TRZ00188,Cc1nnc(-c2ccc(I)cc2)nc1C,311.13,2.76,38.67,0,3,1,2,1
TRZ00189,Cc1nnc(C(N)Cc2ccccc2)nc1C,228.3,1.73,64.69,1,4,3,2,1
TRZ00190,Cc1nnc(-c2ccnc(N)c2)nc1C,201.23,1.13,77.58,1,5,1,2,1
TRZ00191,Cc1nnc(-c2ccc3ncccc3c2)nc1C,236.28,2.7,51.56,0,4,1,3,1
TRZ00192,Cc1nnc(-c2ccc(C#N)cc2)nc1C,210.24,2.03,62.46,0,4,1,2,1
TRZ00193,Cc1nnc(Cc2ccncc2)nc1C,200.24,1.47,51.56,0,4,2,2,1
TRZ00194,Cc1nnc(-c2ccnc(Br)c2)nc1C,265.11,2.31,51.56,0,4,1,2,1
TRZ00195,Cc1nnc(-c2ccc(Br)o2)nc1C,254.09,2.51,51.81,0,4,1,2,1
TRZ00196,Cc1nnc(-c2ccc(-c3ccccc3)cc2)nc1C,261.33,3.82,38.67,0,3,2,3,1
TRZ00197,COc1cccc(-c2nnc(C)c(C)n2)c1,215.26,2.16,47.9,0,4,2,2,1
TRZ00198,Cc1ccccc1-c1nnc(C)c(C)n1,199.26,2.46,38.67,0,3,1,2,1
TRZ00199,Cc1nnc(-c2ccc3c(c2)OCO3)nc1C,229.24,1.88,57.13,0,5,1,2,1
TRZ00200,Cc1nnc(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)nc1C,321.22,4.19,38.67,0,3,1,2,1
TRZ00201,Cc1nnc(-c2ccccc2Br)nc1C,264.13,2.92,38.67,0,3,1,2,1
TRZ00202,Cc1nnc(-c2ccc3ccccc3c2)nc1C,235.29,3.31,38.67,0,3,1,3,1
TRZ00203,Cc1nnc(-c2ccccc2F)nc1C,203.22,2.29,38.67,0,3,1,2,1
TRZ00204,Cc1cccc(-c2nnc(C)c(C)n2)c1O,215.26,2.17,58.9,1,4,1,2,1
TRZ00205,Cc1nnc(Cc2ccc3ccccc3c2)nc1C,249.32,3.23,38.67,0,3,2,3,1
TRZ00206,Cc1nnc(CSc2nc3ccccc3s2)nc1C,288.4,3.39,51.56,0,6,3,3,1
TRZ00207,Cc1nnc(-c2ccc(Cl)c(Cl)c2)nc1C,254.12,3.46,38.67,0,3,1,2,1
TRZ00208,Cc1nnc(-c2cc3ccccc3s2)nc1C,241.32,3.37,38.67,0,4,1,3,1
TRZ00209,Cc1nnc(-c2ccc(C(F)(F)F)cc2)nc1C,253.23,3.17,38.67,0,3,1,2,1
TRZ00210,Cc1nnc(-c2cccc(Br)c2)nc1C,264.13,2.92,38.67,0,3,1,2,1
TRZ00211,Cc1nnc(-c2nonc2N)nc1C,192.18,0.12,103.61,1,7,1,2,1
TRZ00212,Cc1nnc(CSc2nc3ccccc3[nH]2)nc1C,271.35,2.66,67.35,1,5,3,3,1
TRZ00213,COc1ccc(OCc2nnc(C)c(C)n2)cc1,245.28,2.08,57.13,0,5,4,2,1
TRZ00214,Cc1ccc(OCc2nnc(C)c(C)n2)cc1,229.28,2.38,47.9,0,4,3,2,1
TRZ00215,Cc1ccccc1OCc1nnc(C)c(C)n1,229.28,2.38,47.9,0,4,3,2,1
TRZ00216,Cc1nnc(-c2cccc3cc[nH]c23)nc1C,224.27,2.64,54.46,1,3,1,3,1
TRZ00217,Cc1nnc(COc2ccc3ccccc3c2)nc1C,265.32,3.22,47.9,0,4,3,3,1
TRZ00218,Cc1nnc(-c2cc(-c3ccccc3)n[nH]2)nc1C,251.29,2.55,67.35,1,4,2,3,1
TRZ00219,Cc1nnc(-c2cn(C)c3ccccc23)nc1C,238.29,2.65,43.6,0,3,1,3,1
TRZ00220,Cc1nnc(-c2ccc(OCc3ccccc3)cc2)nc1C,291.35,3.73,47.9,0,4,4,3,1
TRZ00221,Cc1nnc(-c2n[nH]c3c2CCCC3)nc1C,229.29,1.76,67.35,1,4,1,2,1
TRZ00222,Cc1nnc(-c2cc3cc(F)ccc3[nH]2)nc1C,242.26,2.78,54.46,1,3,1,3,1
TRZ00223,Cc1nnc(C(C)Oc2ccc(Cl)cc2Cl)nc1C,298.17,3.94,47.9,0,4,3,2,1
TRZ00224,Cc1cc(-c2nnc(C)c(C)n2)ccc1[N+](=O)[O-],244.25,2.37,81.81,0,5,2,2,1
TRZ00225,COc1ccc(-c2nnc(C)c(C)n2)cc1OC,245.28,2.17,57.13,0,5,3,2,1
TRZ00226,Cc1ccccc1-c1c(-c2nnc(C)c(C)n2)[nH]c2ccc(S(N)(=O)=O)cc12,393.47,3.26,114.62,2,5,3,4,1
TRZ00227,Cc1cccc(-c2c(-c3nnc(C)c(C)n3)[nH]c3ccc(S(N)(=O)=O)cc23)c1,393.47,3.26,114.62,2,5,3,4,1
