cmplx_smiles_neutral_std,Exp LgK1
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O.[Mg+2],3.11
[F-].[Th+4],4.7
NC(Cn1ccc(=O)c(O)c1)C(=O)O.[Mg+2],4.38
O=C(O)CN(CCO)CC(=O)O.[Pb+2],9.41
CC(NC(=O)CN)C(=O)O.[H+],8.073
c1ccc(CN(CCN(Cc2ccccn2)Cc2ccccn2)Cc2ccccn2)nc1.[Ag+],11.29
O=C(O)CO.[Cf+3],2.63
O=C(O)c1cc(S(=O)(=O)O)cc(S(=O)(=O)O)c1O.[Y+3],8.64
CC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)O.[Zn+2],2.61
O=C(O)CN1CCOCCOCCN(CC(=O)O)CCN(CC(=O)O)CC1.[Eu+3],11.85
NCC(N)C(=O)O.[H+],9.39
C[C@H](O)C(=O)O.[Zn+2],1.93
CC(O)CN(CC(=O)O)CC(=O)O.[Ni+2],9.31
O=C(O)CS.[Ga+3],11.2
O=S(=O)(O)c1ccc(O)c2ncccc12.[Cd+2],6.39
C=Cn1ccnc1.[Co+2],2.25
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O.[Ba+2],1.14
CN1CCN2CCCSCCCN(CC1)CCN(C)CC2.[Cu+2],18.2
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O.[Ce+3],7.02
O=C(O)CNCC(=O)O.[Th+4],11.15
O=[PH](O)CN1CCN(C[PH](=O)O)CCN(C[PH](=O)O)CC1.[Zn+2],13.04
O=C(/C=C/c1ccccn1)c1cc(F)ccc1O.[Gd+3],5.18
O=C1C=C/C(=C(/c2ccc(O)c(O)c2)c2ccccc2S(=O)(=O)O)C=C1O.[Nd+3],8.9
O=S(=O)(O)c1cc(I)c(O)c2ncccc12.[Al+3],8
O=C(O)CN1CCN(CC(=O)O)CC(=O)OCCOCCOCCOC(=O)C1.[H+],7.12
O=[PH](O)CN1CCN(C[PH](=O)O)CCN(C[PH](=O)O)CCN(C[PH](=O)O)CC1.[H+],10.41
NC1CONC1=O.[Co+2],1.95
O=C(O)CCC(=O)O.[Na+],0.82
O=C(O)CCSCCC(=O)O.[H+],5.01
Oc1ccccc1O.[H+],11.61
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O.[Sr+2],1.79
N#C[S-].[Am+3],0.17
O=c1ccn(C2OC(CO)C(O)C2O)c(=O)[nH]1.[H+],9.15
COc1cccc(SCC(=O)O)c1.[Co+2],0.7
CCN(CC)CC.[H+],10.985
Nc1ccccc1O.[Cu+2],8.03
[O-][Cl](=O)=O.[Pb+2],-0.32
O=C(O)CN(CC(=O)O)Cc1ccccc1C#Cc1ccccc1CN(CC(=O)O)CC(=O)O.[Sr+2],4.2
NCCCCNCCCN.[Cu+2],14.66
O=c1[nH]c(=O)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2[nH]1.[Cu+2],2.37
NC(=O)CN(CC(=O)O)CC(=O)O.[Zn+2],7.5
C1COCCNCCSCCSCCN1.[Pb+2],5.61
O=C(O)CC(O)(CC(=O)O)C(=O)O.[Ca+2],3.5
