Triazine_ID,SMILES,Source_Hydrazide_SMILES
TRZ05528,COc1ccc(-c2cncc(-c3nnc(C)c(C)n3)n2)c(F)c1,COC1=CC(=C(C=C1)C2=CN=CC(=N2)C(=O)NN)F
TRZ05529,Cc1nnc(-c2cncc(-c3cccc(F)c3)n2)nc1C,C1=CC(=CC(=C1)F)C2=CN=CC(=N2)C(=O)NN
TRZ05530,CCOc1ccc(-c2cncc(-c3nnc(C)c(C)n3)n2)c(F)c1,CCOC1=CC(=C(C=C1)C2=CN=CC(=N2)C(=O)NN)F
TRZ05531,COc1ccc(-c2cncc(-c3nnc(C)c(C)n3)n2)c(OC(F)(F)F)c1,COC1=CC(=C(C=C1)C2=CN=CC(=N2)C(=O)NN)OC(F)(F)F
TRZ05532,CCOc1ccc(-c2nc(-c3nnc(C)c(C)n3)cnc2C(F)(F)F)cc1,CCOC1=CC=C(C=C1)C2=NC(=CN=C2C(F)(F)F)C(=O)NN
TRZ05533,Cc1nnc(-c2cncc(N3CCC(F)(F)CC3)n2)nc1C,C1CN(CCC1(F)F)C2=NC(=CN=C2)C(=O)NN
TRZ05534,Cc1nnc(-c2cncc(-c3ccccc3F)n2)nc1C,C1=CC=C(C(=C1)C2=CN=CC(=N2)C(=O)NN)F
TRZ05535,Cc1nnc(-c2cncc(N3CCCC(F)(F)CC3)n2)nc1C,C1CC(CCN(C1)C2=NC(=CN=C2)C(=O)NN)(F)F
TRZ05536,COc1ccc(-c2cncc(-c3nnc(C)c(C)n3)n2)c(C(F)(F)F)c1,COC1=CC(=C(C=C1)C2=CN=CC(=N2)C(=O)NN)C(F)(F)F
TRZ05537,Cc1nnc(-c2nccc(-c3ccc(OC(F)(F)F)cc3)n2)nc1C,C1=CC(=CC=C1C2=NC(=NC=C2)C(=O)NN)OC(F)(F)F
TRZ05538,Cc1nnc(-c2cncc(-c3ccc(OC(F)(F)F)cc3)c2)nc1C,C1=CC(=CC=C1C2=CC(=CN=C2)C(=O)NN)OC(F)(F)F
TRZ05539,Cc1nnc(-c2cc(-c3ccc(OC(F)(F)F)cc3)ccn2)nc1C,C1=CC(=CC=C1C2=CC(=NC=C2)C(=O)NN)OC(F)(F)F
TRZ05540,Cc1nnc(-c2ccnc(-c3ccc(OC(F)(F)F)cc3)n2)nc1C,C1=CC(=CC=C1C2=NC=CC(=N2)C(=O)NN)OC(F)(F)F
