Triazine_ID,SMILES,MolWt,LogP,TPSA,HBD,HBA,RotatableBonds,AromaticRings,n_triazine_rings,mol,Has_Hydrazine,Has_Acyl_Hydrazide
TRZ00091,Cc1nnc(-c2ccccn2)nc1C,186.22,1.55,51.56,0,4,1,2,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB274373E0>,False,False
TRZ00092,Cc1nnc(COc2ccc(Cl)cc2Cl)nc1C,284.15,3.37,47.9,0,4,3,2,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB27437450>,False,False
TRZ00093,COc1cc(OC)cc(-c2nnc(C)c(C)n2)c1,245.28,2.17,57.13,0,5,3,2,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB274374C0>,False,False
TRZ00094,Cc1nnc(Cc2ccc(Cl)cc2)nc1C,233.7,2.73,38.67,0,3,2,2,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB27437530>,False,False
TRZ00095,COc1cc(-c2nnc(C)c(C)n2)ccc1O,231.26,1.87,68.13,1,5,2,2,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB274375A0>,False,False
TRZ00096,Cc1nnc(-c2ccsc2)nc1C,191.26,2.22,38.67,0,4,1,2,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB27437610>,False,False
TRZ00097,Cc1nnc(Cc2ccsc2)nc1C,205.29,2.14,38.67,0,4,2,2,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB27437680>,False,False
TRZ00098,Cc1nnc(-c2cncn2C)nc1C,189.22,0.89,56.49,0,4,1,2,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB274376F0>,False,False
TRZ00099,Cc1nnc(COc2ccc(Cl)cc2)nc1C,249.7,2.72,47.9,0,4,3,2,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB27437760>,False,False
TRZ00100,Cc1nnc([C@@H](N)Cc2ccc(O)cc2)nc1C,244.3,1.44,84.92,2,5,3,2,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB274377D0>,False,False
TRZ00101,Cc1nnc(-c2ccc(C(C)(C)C)cc2)nc1C,241.34,3.45,38.67,0,3,1,2,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB27437840>,False,False
TRZ00102,Cc1nnc(-c2ccccc2S(N)(=O)=O)nc1C,264.31,0.8,98.83,1,5,2,2,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB274378B0>,False,False
TRZ00103,COc1ccc(-n2[nH]c(-c3nnc(C)c(C)n3)c3ccc4nncc4c32)cc1,371.4,3.38,94.4,1,6,3,5,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB27437920>,False,False
TRZ00105,Cc1nnc(-c2ccc(-c3ccccc3Cl)o2)nc1C,285.73,4.07,51.81,0,4,2,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB27437990>,False,False
TRZ00106,Cc1nnc(COc2ccc3c(C)cc(=O)oc3c2)nc1C,297.31,2.48,78.11,0,6,3,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB27437A00>,False,False
TRZ00107,Cc1nnc(COc2ccc3c(C)c(C)c(=O)oc3c2)nc1C,311.34,2.79,78.11,0,6,3,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB27437A70>,False,False
