molecule_id,triazine_smiles,metal,cmplx_smiles
TRZ00056,Cc1nnc(-c2c[nH]c3ccccc23)nc1C,Fe3+,Cc1nnc(-c2c[nH]c3ccccc23)nc1C.[Fe+3]
TRZ00057,Cc1nnc(-c2cc(Cl)ccn2)nc1C,Cu2+,Cc1nnc(-c2cc(Cl)ccn2)nc1C.[Cu+2]
TRZ00057,Cc1nnc(-c2cc(Cl)ccn2)nc1C,Zn2+,Cc1nnc(-c2cc(Cl)ccn2)nc1C.[Zn+2]
TRZ00057,Cc1nnc(-c2cc(Cl)ccn2)nc1C,Fe2+,Cc1nnc(-c2cc(Cl)ccn2)nc1C.[Fe+2]
TRZ00057,Cc1nnc(-c2cc(Cl)ccn2)nc1C,Fe3+,Cc1nnc(-c2cc(Cl)ccn2)nc1C.[Fe+3]
TRZ00060,Cc1nnc(-c2ccc(O)cc2O)nc1C,Cu2+,Cc1nnc(-c2ccc(O)cc2O)nc1C.[Cu+2]
TRZ00060,Cc1nnc(-c2ccc(O)cc2O)nc1C,Zn2+,Cc1nnc(-c2ccc(O)cc2O)nc1C.[Zn+2]
TRZ00060,Cc1nnc(-c2ccc(O)cc2O)nc1C,Fe2+,Cc1nnc(-c2ccc(O)cc2O)nc1C.[Fe+2]
TRZ00060,Cc1nnc(-c2ccc(O)cc2O)nc1C,Fe3+,Cc1nnc(-c2ccc(O)cc2O)nc1C.[Fe+3]
TRZ00061,Cc1nnc(C(C)Oc2cccc(Cl)c2)nc1C,Cu2+,Cc1nnc(C(C)Oc2cccc(Cl)c2)nc1C.[Cu+2]
TRZ00061,Cc1nnc(C(C)Oc2cccc(Cl)c2)nc1C,Zn2+,Cc1nnc(C(C)Oc2cccc(Cl)c2)nc1C.[Zn+2]
TRZ00061,Cc1nnc(C(C)Oc2cccc(Cl)c2)nc1C,Fe2+,Cc1nnc(C(C)Oc2cccc(Cl)c2)nc1C.[Fe+2]
TRZ00061,Cc1nnc(C(C)Oc2cccc(Cl)c2)nc1C,Fe3+,Cc1nnc(C(C)Oc2cccc(Cl)c2)nc1C.[Fe+3]
TRZ00063,COc1ccccc1OCc1nnc(C)c(C)n1,Cu2+,COc1ccccc1OCc1nnc(C)c(C)n1.[Cu+2]
TRZ00063,COc1ccccc1OCc1nnc(C)c(C)n1,Zn2+,COc1ccccc1OCc1nnc(C)c(C)n1.[Zn+2]
TRZ00063,COc1ccccc1OCc1nnc(C)c(C)n1,Fe2+,COc1ccccc1OCc1nnc(C)c(C)n1.[Fe+2]
TRZ00063,COc1ccccc1OCc1nnc(C)c(C)n1,Fe3+,COc1ccccc1OCc1nnc(C)c(C)n1.[Fe+3]
TRZ00065,Cc1nnc(-c2cc3c(s2)CCC(C)C3)nc1C,Cu2+,Cc1nnc(-c2cc3c(s2)CCC(C)C3)nc1C.[Cu+2]
TRZ00065,Cc1nnc(-c2cc3c(s2)CCC(C)C3)nc1C,Zn2+,Cc1nnc(-c2cc3c(s2)CCC(C)C3)nc1C.[Zn+2]
TRZ00065,Cc1nnc(-c2cc3c(s2)CCC(C)C3)nc1C,Fe2+,Cc1nnc(-c2cc3c(s2)CCC(C)C3)nc1C.[Fe+2]
TRZ00065,Cc1nnc(-c2cc3c(s2)CCC(C)C3)nc1C,Fe3+,Cc1nnc(-c2cc3c(s2)CCC(C)C3)nc1C.[Fe+3]
TRZ00066,Cc1nnc(CC2Sc3ccccc3NC2=O)nc1C,Cu2+,Cc1nnc(CC2Sc3ccccc3NC2=O)nc1C.[Cu+2]
TRZ00066,Cc1nnc(CC2Sc3ccccc3NC2=O)nc1C,Zn2+,Cc1nnc(CC2Sc3ccccc3NC2=O)nc1C.[Zn+2]
TRZ00066,Cc1nnc(CC2Sc3ccccc3NC2=O)nc1C,Fe2+,Cc1nnc(CC2Sc3ccccc3NC2=O)nc1C.[Fe+2]
TRZ00066,Cc1nnc(CC2Sc3ccccc3NC2=O)nc1C,Fe3+,Cc1nnc(CC2Sc3ccccc3NC2=O)nc1C.[Fe+3]
TRZ00067,Cc1nnc(-c2cn3ccccc3n2)nc1C,Cu2+,Cc1nnc(-c2cn3ccccc3n2)nc1C.[Cu+2]
TRZ00067,Cc1nnc(-c2cn3ccccc3n2)nc1C,Zn2+,Cc1nnc(-c2cn3ccccc3n2)nc1C.[Zn+2]
TRZ00067,Cc1nnc(-c2cn3ccccc3n2)nc1C,Fe2+,Cc1nnc(-c2cn3ccccc3n2)nc1C.[Fe+2]
TRZ00067,Cc1nnc(-c2cn3ccccc3n2)nc1C,Fe3+,Cc1nnc(-c2cn3ccccc3n2)nc1C.[Fe+3]
TRZ00068,Cc1nnc(-c2ncccn2)nc1C,Cu2+,Cc1nnc(-c2ncccn2)nc1C.[Cu+2]
TRZ00068,Cc1nnc(-c2ncccn2)nc1C,Zn2+,Cc1nnc(-c2ncccn2)nc1C.[Zn+2]
TRZ00068,Cc1nnc(-c2ncccn2)nc1C,Fe2+,Cc1nnc(-c2ncccn2)nc1C.[Fe+2]
TRZ00068,Cc1nnc(-c2ncccn2)nc1C,Fe3+,Cc1nnc(-c2ncccn2)nc1C.[Fe+3]
TRZ00069,Cc1nnc(-c2cccnn2)nc1C,Cu2+,Cc1nnc(-c2cccnn2)nc1C.[Cu+2]
TRZ00069,Cc1nnc(-c2cccnn2)nc1C,Zn2+,Cc1nnc(-c2cccnn2)nc1C.[Zn+2]
